categorie;volume;delai_moyen_h;taux_sla;satisfaction_moy
Assistance sur Equipement Client;1;0.0;100.0;
Autres Réclamations;1;5.72;100.0;
Autres demandes sur une ligne;42;6.99;95.0;
Contestations crédit et réclamations sur le rechargement;143;53.28;71.0;
Demande FTTH;122;7.12;97.0;
Opération sur une ligne;3;0.17;100.0;
Opérations Moov Money;130;17.61;94.0;
Renseignements FTTH;10;5.76;90.0;
Renseignements sur Moov Money;19;2.15;100.0;
Renseignements sur la Data;1;0.0;100.0;
Renseignements sur les Offres;2;0.17;100.0;
Renseignements sur les Services de base;9;15.12;89.0;
Renseignements sur les Services à Valeur Ajoutée (SVA);3;136.63;67.0;
Réclamations FTTH;988;16.3;79.0;
Réclamations Moov Money;316;22.33;61.0;
Réclamations SVA;56;13.2;95.0;
Réclamations relatives aux offres avec engagement (PPR, Forfaits maitrisés & Postpaids);9;129.93;44.0;
Réclamations sur le Réseau & les services voix/SMS;374;22.97;80.0;
Réclamations sur les Opérations;6;8.06;83.0;
Réclamations sur les services Data;52;45.98;54.0;
